Stream0,Stream1,Stream2,Stream3 
0.139533,-0.0420537,0.500111,0.0660659
0.207513,0.177048,0.720956,0.0864957
0.392535,-0.0898183,0.942267,0.226092
0.406323,-0.122256,0.856169,0.197398
0.494224,0.19897,0.710268,0.246544
0.652453,-0.0325463,0.524678,0.370489
0.637385,-0.191083,0.0976897,0.326303
0.737371,0.203117,-0.228871,0.402974
0.853767,0.027087,-0.496891,0.502431
0.812322,-0.242206,-0.829391,0.450925
0.915141,0.188913,-0.886503,0.550985
0.978693,0.0837496,-0.833313,0.619424
0.915777,-0.270842,-0.760719,0.569301
1.01154,0.157464,-0.408787,0.68593
1.01628,0.132423,-0.0699504,0.719679
0.938618,-0.27435,0.210906,0.679166
1.01786,0.111497,0.617184,0.803577
0.963394,0.168875,0.808761,0.8021
0.878808,-0.25242,0.853851,0.778028
0.933332,0.0549992,0.905957,0.900204
0.824873,0.18991,0.66934,0.866068
0.741594,-0.207093,0.359533,0.86323
0.765332,-0.00701746,0.102392,0.972895
0.613268,0.193846,-0.331214,0.911546
0.539018,-0.142596,-0.632846,0.932032
0.528713,-0.0689818,-0.769107,1.01966
0,0,0,0
0.347568,0.1805,-0.942613,0.938782
0,0,0,0
0.288877,-0.0649322,-0.848166,0.98177
0.244489,-0.125268,-0.604276,1.03953
0,0,0,0
0.11201,-0.00585498,-0.404473,0.746718
0,0,0,0
0.0920107,-0.202377,-0.15163,0.540726
0,0,0,0
0.0514531,-0.175554,-0.0124716,0.288518
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
