CMD, D, D, D, D, TLAST, TKEEP, TIME_NS
DATA:1, 0, 1, 2, 3, 0, -1, 710.4
DATA:1, 4, 5, 6, 7, 0, -1, 713.6
DATA:1, 0, 1, 2, 3, 0, -1, 716.8
DATA:1, 4, 5, 6, 7, 0, -1, 720
DATA:1, 0, 1, 2, 3, 0, -1, 723.2
DATA:1, 4, 5, 6, 7, 0, -1, 726.4
DATA:1, 0, 1, 2, 3, 0, -1, 729.6
DATA:1, 4, 5, 6, 7, 1, -1, 732.8
DATA:1, 1, 2, 3, 4, 0, -1, 1056
DATA:1, 5, 6, 7, 8, 0, -1, 1059.2
DATA:1, 1, 2, 3, 4, 0, -1, 1062.4
DATA:1, 5, 6, 7, 8, 0, -1, 1065.6
DATA:1, 1, 2, 3, 4, 0, -1, 1068.8
DATA:1, 5, 6, 7, 8, 0, -1, 1072
DATA:1, 1, 2, 3, 4, 0, -1, 1075.2
DATA:1, 5, 6, 7, 8, 1, -1, 1078.4
