CMD, D, D, D, D, TLAST, TKEEP, TIME_NS
DATA:1, 1, 2, 3, 4, 0, -1, 918.4
DATA:1, 5, 6, 7, 8, 0, -1, 921.6
DATA:1, 1, 2, 3, 4, 0, -1, 924.8
DATA:1, 5, 6, 7, 8, 0, -1, 928
DATA:1, 1, 2, 3, 4, 0, -1, 931.2
DATA:1, 5, 6, 7, 8, 0, -1, 934.4
DATA:1, 1, 2, 3, 4, 0, -1, 937.6
DATA:1, 5, 6, 7, 8, 1, -1, 940.8
DATA:1, 1431655767, 1431655767, 1431655767, 1431655767, 0, -1, 1222.4
DATA:1, 1431655767, 1431655767, 1431655767, 1431655767, 0, -1, 1225.6
DATA:1, 1431655767, 1431655767, 1431655767, 1431655767, 0, -1, 1228.8
DATA:1, 1431655767, 1431655767, 1431655767, 1431655767, 0, -1, 1232
DATA:1, 1431655767, 1431655767, 1431655767, 1431655767, 0, -1, 1235.2
DATA:1, 1431655767, 1431655767, 1431655767, 1431655767, 0, -1, 1238.4
DATA:1, 1431655767, 1431655767, 1431655767, 1431655767, 0, -1, 1241.6
DATA:1, 1431655767, 1431655767, 1431655767, 1431655767, 1, -1, 1244.8
