Stream0,Stream1,Stream2,Stream3 
0,0,0,0
-0.0620628,0.750341,0.226668,-0.11176
0.388491,-0.557997,0.906029,0.289962
0.231705,-0.360558,0.867746,0.0860615
0.271921,0.876406,0.883382,0.0817196
0.678023,-0.317124,1.11191,0.446626
0.443643,-0.687749,0.561635,0.175184
0.583308,0.924346,0.284142,0.282645
0.904837,-0.049658,0.141023,0.577501
0.61775,-0.951271,-0.596041,0.269881
0.843587,0.889049,-0.744606,0.481868
1.04889,0.220228,-0.787941,0.680474
0.739058,-1.12683,-1.18898,0.371475
1.02903,0.773206,-0.824489,0.670122
1.09779,0.468397,-0.531845,0.755625
0.797232,-1.19814,-0.497567,0.47998
1.12212,0.586392,0.218755,0.837992
1.04797,0.67304,0.530856,0.80512
0.787153,-1.15869,0.591579,0.59357
1.1142,0.345249,1.12755,0.977626
0.904251,0.815906,0.985064,0.832081
0.709629,-1.01214,0.711214,0.708833
1.00525,0.0709828,0.800004,1.08228
0.680366,0.884893,0.181078,0.841082
0.571137,-0.772109,-0.254166,0.820727
0.804577,-0.211837,-0.317349,1.14749
0.396993,0.874435,-0.934421,0.836882
0.383365,-0.460875,-1.02545,0.923028
0.529916,-0.477651,-0.79921,1.17125
0.0799983,0.786089,-1.01137,0.823968
0.16223,-0.107293,-0.556634,1.00884
0.205812,-0.702217,-0.0498862,1.15407
-0.241837,0.628429,-0.00180717,0.806103
-0.0738034,0.255536,0.631383,1.07085
-0.138233,-0.864506,0.943134,1.0992
-0.539913,0.415725,0.783998,0.785405
-0.30386,0.594767,1.1049,1.10351
-0.471623,-0.949842,0.864498,1.01109
-0.787492,0.167531,0.342757,0.763013
-0.5086,0.87867,0.326963,1.10136
-0.76377,-0.949603,-0.254239,0.896592
-0.962783,-0.0938131,-0.749231,0.738288
-0.670385,1.08105,-0.667171,1.06113
-0.987924,-0.863113,-1.06844,0.7633
-1.05065,-0.34498,-1.06843,0.709151
-0.775172,1.18329,-0.588226,0.981788
-1.12339,-0.697529,-0.617845,0.619109
-1.04393,-0.563737,-0.153322,0.672395
-0.813717,1.17607,0.46913,0.864726
-1.15744,-0.467267,0.462958,0.471529
-0.943969,-0.730902,0.90455,0.624148
-0.7824,1.06022,1.14579,0.713797
-1.08654,-0.192753,0.755757,0.327089
-0.760467,-0.832023,0.83784,0.560439
-0.683559,0.84661,0.543669,0.535085
-0.916664,0.101385,-0.137907,0.190857
-0.510507,-0.85861,-0.196909,0.477797
-0.52533,0.555157,-0.631308,0.336501
-0.662862,0.38852,-1.08865,0.0661428
-0.216964,-0.808842,-0.825103,0.373826
-0.32099,0.212935,-0.958575,0.127205
-0.347876,0.642437,-0.871134,-0.0456057
0.093593,-0.687667,-0.203679,0.247691
-0.0878563,-0.148334,-0.0974119,-0.0830783
