CMD, D, D, D, D, TLAST, TKEEP, TIME_NS
DATA:1, 3.103970885e-01, 3.335587084e-01, 1.579772949e+00, 3.838634789e-01, 0, -1, 3680
DATA:1, 3.451903462e-01, 4.655813873e-01, 1.488619328e+00, 5.951490402e-01, 0, -1, 3686.4
DATA:1, 3.711981475e-01, 5.706259608e-01, 1.596022725e+00, 7.694379091e-01, 0, -1, 3692.8
DATA:1, 4.233917594e-01, 6.713486314e-01, 1.915432453e+00, 8.932236433e-01, 0, -1, 3696
DATA:1, 4.884680510e-01, 7.506895065e-01, 1.902657866e+00, 9.869648814e-01, 0, -1, 3702.4
DATA:1, 5.945301056e-01, 8.377697468e-01, 2.040483952e+00, 1.001713157e+00, 0, -1, 3708.8
DATA:1, 6.569743752e-01, 9.025112987e-01, 2.624792337e+00, 9.680659175e-01, 0, -1, 3715.2
DATA:1, 6.920189857e-01, 1.003975391e+00, 3.006180286e+00, 8.588954806e-01, 0, -1, 3718.4
DATA:1, 8.006683588e-01, 1.055853963e+00, 3.131955624e+00, 6.888014674e-01, 0, -1, 3724.8
DATA:1, 8.263728619e-01, 1.035777688e+00, 3.208488703e+00, 5.111570358e-01, 0, -1, 3731.2
DATA:1, 9.266287088e-01, 1.063919902e+00, 2.692358494e+00, 2.710788548e-01, 0, -1, 3737.6
DATA:1, 1.068276525e+00, 1.070348024e+00, 1.895228267e+00, 2.997559309e-02, 0, -1, 3740.8
DATA:1, 1.101512790e+00, 1.115317822e+00, 1.861363769e+00, -1.937421560e-01, 0, -1, 3747.2
DATA:1, 1.105616808e+00, 1.104593515e+00, 1.524069190e+00, -4.320185184e-01, 0, -1, 3753.6
DATA:1, 1.089717388e+00, 1.041206598e+00, 1.664586306e+00, -6.185109615e-01, 0, -1, 3760
DATA:1, 1.128340960e+00, 9.870045185e-01, 1.914641976e+00, -7.663325071e-01, 0, -1, 3763.2
DATA:1, 1.121298790e+00, 8.719419241e-01, 1.504279137e+00, -8.806662560e-01, 0, -1, 3769.6
DATA:1, 1.263004780e+00, 8.322929144e-01, 1.663466215e+00, -9.196405411e-01, 0, -1, 3776
DATA:1, 1.245003700e+00, 7.926201820e-01, 1.178357363e+00, -8.921294212e-01, 0, -1, 3782.4
DATA:1, 1.232732892e+00, 6.844580173e-01, 7.696801424e-01, -8.145481944e-01, 0, -1, 3785.6
DATA:1, 1.235666990e+00, 6.022274494e-01, 1.007472634e+00, -6.861971021e-01, 0, -1, 3792
DATA:1, 1.250148058e+00, 4.511336088e-01, 1.270945072e-01, -5.113805532e-01, 0, -1, 3798.4
DATA:1, 1.371493340e+00, 2.881122231e-01, -2.312852740e-01, -3.114005327e-01, 0, -1, 3804.8
DATA:1, 1.332229376e+00, 1.626474112e-01, 2.499691248e-01, -8.618609607e-02, 0, -1, 3808
DATA:1, 1.284210801e+00, 3.242117539e-02, 1.183816046e-02, 1.662946939e-01, 0, -1, 3814.4
DATA:1, 1.162010670e+00, -8.003512025e-02, 5.356510878e-01, 4.086351693e-01, 0, -1, 3820.8
DATA:1, 1.155147791e+00, -1.702645719e-01, 8.055298924e-01, 6.176844239e-01, 0, -1, 3827.2
DATA:1, 1.155514598e+00, -2.629935741e-01, 3.950051963e-01, 8.056318760e-01, 0, -1, 3830.4
DATA:1, 1.234044552e+00, -4.034307897e-01, 5.739747882e-01, 9.242564440e-01, 0, -1, 3836.8
DATA:1, 1.244897842e+00, -5.026451349e-01, 1.031883478e+00, 9.995449781e-01, 0, -1, 3843.2
DATA:1, 1.207547426e+00, -6.313889027e-01, 1.364966750e+00, 1.004365206e+00, 0, -1, 3849.6
DATA:1, 1.222606182e+00, -7.286933661e-01, 1.360985160e+00, 9.574596882e-01, 0, -1, 3852.8
DATA:1, 1.212119460e+00, -7.645012140e-01, 2.098585367e+00, 8.540807366e-01, 0, -1, 3859.2
DATA:1, 1.181078792e+00, -8.124537468e-01, 1.527663350e+00, 6.877757907e-01, 0, -1, 3865.6
DATA:1, 1.117367864e+00, -8.462960124e-01, 2.015340328e+00, 4.901818633e-01, 0, -1, 3872
DATA:1, 1.009341002e+00, -8.604786992e-01, 2.812875271e+00, 2.628263235e-01, 0, -1, 3875.2
DATA:1, 8.926197886e-01, -8.656390905e-01, 2.599418402e+00, 2.380769700e-02, 0, -1, 3881.6
DATA:1, 9.099798203e-01, -8.840116262e-01, 3.330844402e+00, -2.079543769e-01, 0, -1, 3888
DATA:1, 8.457134962e-01, -8.253701925e-01, 3.370289803e+00, -4.090311825e-01, 0, -1, 3894.4
DATA:1, 7.803805470e-01, -8.334247470e-01, 3.515090942e+00, -6.023906469e-01, 0, -1, 3897.6
DATA:1, 8.047711849e-01, -7.908766270e-01, 3.246243238e+00, -7.420937419e-01, 0, -1, 3904
DATA:1, 7.564575672e-01, -7.001355886e-01, 2.624613285e+00, -8.348292708e-01, 0, -1, 3910.4
DATA:1, 6.976931095e-01, -6.100071669e-01, 2.239975929e+00, -8.856906295e-01, 0, -1, 3916.8
DATA:1, 6.900421381e-01, -4.889948666e-01, 1.852233648e+00, -8.718090057e-01, 0, -1, 3920
DATA:1, 5.842488408e-01, -3.846927881e-01, 1.969323039e+00, -7.970013022e-01, 0, -1, 3926.4
DATA:1, 5.013493896e-01, -2.889068127e-01, 2.290874720e+00, -6.766402721e-01, 0, -1, 3932.8
DATA:1, 4.118889868e-01, -2.120497525e-01, 1.804442883e+00, -5.089045167e-01, 0, -1, 3939.2
DATA:1, 3.309606016e-01, -1.107454523e-01, 1.742787361e+00, -3.050301969e-01, 0, -1, 3942.4
DATA:1, 2.690185010e-01, 1.101047173e-02, 1.886655927e+00, -7.123614848e-02, 0, -1, 3948.8
DATA:1, 2.233290076e-01, 1.183519959e-01, 1.984462500e+00, 1.750895381e-01, 0, -1, 3955.2
DATA:1, 1.631445289e-01, 2.352964431e-01, 2.482015371e+00, 4.273230433e-01, 0, -1, 3961.6
DATA:1, 1.070221886e-01, 3.645601869e-01, 2.084880114e+00, 6.583152413e-01, 0, -1, 3964.8
DATA:1, 3.870777413e-02, 4.798441827e-01, 1.407256246e+00, 8.350996971e-01, 0, -1, 3971.2
DATA:1, -1.227778867e-01, 6.472146511e-01, 9.110274911e-01, 9.698228240e-01, 0, -1, 3977.6
DATA:1, -1.498786211e-01, 7.530782223e-01, 9.048905373e-01, 1.025487900e+00, 0, -1, 3984
DATA:1, -1.952997595e-01, 8.239845037e-01, 6.027545929e-01, 1.027361393e+00, 0, -1, 3987.2
DATA:1, -2.052922398e-01, 9.296259880e-01, 7.693695426e-01, 9.645811319e-01, 0, -1, 3993.6
DATA:1, -1.526530981e-01, 9.880011678e-01, 3.378501534e-01, 8.412014246e-01, 0, -1, 4000
DATA:1, -1.557629406e-01, 1.036192536e+00, -2.039885521e-01, 7.008951306e-01, 0, -1, 4006.4
DATA:1, -2.454875708e-01, 1.083047986e+00, 2.448424995e-01, 5.025659800e-01, 0, -1, 4009.6
DATA:1, -2.887277007e-01, 1.072164059e+00, -5.023226142e-03, 2.742938101e-01, 0, -1, 4016
DATA:1, -3.560021818e-01, 1.038327456e+00, 8.403590918e-01, 4.506199062e-02, 0, -1, 4022.4
DATA:1, -3.978297710e-01, 1.022068381e+00, 1.407194138e+00, -2.096267194e-01, 0, -1, 4028.8
